City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,suwayr,30.1171,40.3893,24.52,19,0,3.25,SA,2023-09-29 23:27:00
69,mabaruma,8.2,-59.7833,27.48,82,14,2.47,GY,2023-09-29 23:27:00
70,bathsheba,13.2167,-59.5167,30.34,79,20,4.12,BB,2023-09-29 23:27:00
71,nikolayevsk-on-amure,53.1406,140.73,9.91,86,100,0.93,RU,2023-09-29 23:27:00
72,dudinka,69.4058,86.1778,-3.54,93,93,8.85,RU,2023-09-29 23:27:01
73,nemuro,43.3236,145.575,16.42,76,95,4.75,JP,2023-09-29 23:27:01
74,papao,-17.75,-149.55,27.82,83,23,9.24,PF,2023-09-29 23:27:01
75,besskorbnaya,44.6447,41.311,14.98,61,50,6.21,RU,2023-09-29 23:27:01
76,goz beida,13.95,20.55,27.18,65,67,0.97,TD,2023-09-29 23:26:16
77,egilsstadir,65.2653,-14.3948,3.95,93,100,0.0,IS,2023-09-29 23:27:01
78,castillos,-34.1667,-53.8333,13.14,95,92,1.39,UY,2023-09-29 23:27:02
79,blackmans bay,-43.0167,147.3167,16.4,63,93,1.75,AU,2023-09-29 23:27:02
80,bozhou,33.8772,115.7703,18.4,93,0,1.45,CN,2023-09-29 23:27:02
81,talnakh,69.4865,88.3972,-3.77,85,99,5.5,RU,2023-09-29 23:27:02
82,ixtapa,20.7,-105.2,31.57,79,75,5.14,MX,2023-09-29 23:27:02
83,kerikeri,-35.2268,173.9474,12.39,70,60,7.93,NZ,2023-09-29 23:25:28
84,el rosario,24.2556,-107.1828,32.73,62,67,4.66,MX,2023-09-29 23:27:03
85,queenstown,-31.8976,26.8753,17.77,27,93,3.55,ZA,2023-09-29 23:27:03
86,loreto,22.2667,-101.9667,27.92,19,7,2.57,MX,2023-09-29 23:25:19
87,papatowai,-46.5619,169.4708,6.71,73,97,8.59,NZ,2023-09-29 23:27:03
88,sao jose da coroa grande,-8.8978,-35.1478,25.54,73,90,4.09,BR,2023-09-29 23:27:03
89,zavodskoy,43.4597,132.2922,14.77,87,40,1.0,RU,2023-09-29 23:27:03
90,tindouf,27.6711,-8.1474,26.25,22,29,1.54,DZ,2023-09-29 23:27:04
91,fortuna,40.5982,-124.1573,18.7,82,20,0.0,US,2023-09-29 23:27:04
92,tolanaro,-25.0319,46.9987,23.04,88,20,7.2,MG,2023-09-29 23:27:04
93,yuzhno-kurilsk,44.0306,145.8556,15.8,79,73,3.03,RU,2023-09-29 23:27:04
94,hasaki,35.7333,140.8333,26.27,78,41,7.13,JP,2023-09-29 23:27:04
95,burutu,5.3509,5.5076,24.3,91,100,1.72,NG,2023-09-29 23:27:04
96,albany,42.6001,-73.9662,14.77,92,100,0.45,US,2023-09-29 23:24:08
97,tataouine,32.9297,10.4518,21.82,63,0,1.71,TN,2023-09-29 23:27:05
98,lihue,21.9789,-159.3672,28.74,72,40,6.17,US,2023-09-29 23:27:05
99,mil'kovo,55.6078,37.7956,15.59,76,67,2.6,RU,2023-09-29 23:27:05
100,ballina,-28.8667,153.5667,24.32,65,8,3.22,AU,2023-09-29 23:27:05
101,bodo,67.28,14.405,11.02,98,100,3.09,NO,2023-09-29 23:27:05
102,klyuchi,52.2667,79.1667,10.13,72,53,1.4,RU,2023-09-29 23:27:05
103,constitucion,-35.3333,-72.4167,13.03,78,0,4.25,CL,2023-09-29 23:27:06
104,kananga,-5.8958,22.4178,22.71,77,35,1.05,CD,2023-09-29 23:27:06
105,arteche,12.2645,125.4048,26.59,90,100,2.7,PH,2023-09-29 23:27:06
106,miri,4.4148,114.0089,25.08,94,40,1.03,MY,2023-09-29 23:27:06
107,guerrero negro,27.9769,-114.0611,22.28,64,1,7.25,MX,2023-09-29 23:27:06
108,nova sintra,14.8667,-24.7167,24.92,80,99,2.24,CV,2023-09-29 23:27:06
109,port mathurin,-19.6833,63.4167,22.71,65,66,7.75,MU,2023-09-29 23:27:07
110,tazovsky,67.4667,78.7,-2.56,82,15,7.76,RU,2023-09-29 23:27:07
111,atafu village,-8.5421,-172.5159,28.69,71,26,4.29,TK,2023-09-29 23:27:07
112,kenora,49.8167,-94.4337,16.54,77,20,1.54,CA,2023-09-29 23:27:07
113,bethel,41.3712,-73.414,14.05,89,100,5.14,US,2023-09-29 23:26:32
